deck_id,deck_url,mtgo_url,placement,players,placement_of,deck_file
757933,https://www.mtgtop8.com/event?e=73535&d=757933&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73535&d=757933&f=cEDH,5,20,5/20,..\data\mtgtop8\deck_757933.txt
757934,https://www.mtgtop8.com/event?e=73535&d=757934&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73535&d=757934&f=cEDH,5,20,5/20,..\data\mtgtop8\deck_757934.txt
757935,https://www.mtgtop8.com/event?e=73535&d=757935&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73535&d=757935&f=cEDH,5,20,5/20,..\data\mtgtop8\deck_757935.txt
757960,https://www.mtgtop8.com/event?e=73539&d=757960&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73539&d=757960&f=cEDH,1,15,1/15,..\data\mtgtop8\deck_757960.txt
757961,https://www.mtgtop8.com/event?e=73539&d=757961&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73539&d=757961&f=cEDH,2,15,2/15,..\data\mtgtop8\deck_757961.txt
757962,https://www.mtgtop8.com/event?e=73539&d=757962&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73539&d=757962&f=cEDH,3,15,3/15,..\data\mtgtop8\deck_757962.txt
757963,https://www.mtgtop8.com/event?e=73540&d=757963&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757963&f=cEDH,1,61,1/61,..\data\mtgtop8\deck_757963.txt
757964,https://www.mtgtop8.com/event?e=73540&d=757964&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757964&f=cEDH,2,61,2/61,..\data\mtgtop8\deck_757964.txt
757965,https://www.mtgtop8.com/event?e=73540&d=757965&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757965&f=cEDH,3,61,3/61,..\data\mtgtop8\deck_757965.txt
757966,https://www.mtgtop8.com/event?e=73540&d=757966&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757966&f=cEDH,3,61,3/61,..\data\mtgtop8\deck_757966.txt
757967,https://www.mtgtop8.com/event?e=73540&d=757967&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757967&f=cEDH,5,61,5/61,..\data\mtgtop8\deck_757967.txt
757968,https://www.mtgtop8.com/event?e=73540&d=757968&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757968&f=cEDH,5,61,5/61,..\data\mtgtop8\deck_757968.txt
757969,https://www.mtgtop8.com/event?e=73540&d=757969&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757969&f=cEDH,5,61,5/61,..\data\mtgtop8\deck_757969.txt
757970,https://www.mtgtop8.com/event?e=73540&d=757970&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757970&f=cEDH,5,61,5/61,..\data\mtgtop8\deck_757970.txt
757971,https://www.mtgtop8.com/event?e=73540&d=757971&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757971&f=cEDH,9,61,9/61,..\data\mtgtop8\deck_757971.txt
757972,https://www.mtgtop8.com/event?e=73540&d=757972&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757972&f=cEDH,9,61,9/61,..\data\mtgtop8\deck_757972.txt
757973,https://www.mtgtop8.com/event?e=73540&d=757973&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757973&f=cEDH,9,61,9/61,..\data\mtgtop8\deck_757973.txt
757974,https://www.mtgtop8.com/event?e=73540&d=757974&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757974&f=cEDH,9,61,9/61,..\data\mtgtop8\deck_757974.txt
757975,https://www.mtgtop8.com/event?e=73540&d=757975&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757975&f=cEDH,9,61,9/61,..\data\mtgtop8\deck_757975.txt
757976,https://www.mtgtop8.com/event?e=73540&d=757976&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757976&f=cEDH,9,61,9/61,..\data\mtgtop8\deck_757976.txt
757977,https://www.mtgtop8.com/event?e=73540&d=757977&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757977&f=cEDH,9,61,9/61,..\data\mtgtop8\deck_757977.txt
757978,https://www.mtgtop8.com/event?e=73540&d=757978&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73540&d=757978&f=cEDH,9,61,9/61,..\data\mtgtop8\deck_757978.txt
758019,https://www.mtgtop8.com/event?e=73545&d=758019&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73545&d=758019&f=cEDH,1,29,1/29,..\data\mtgtop8\deck_758019.txt
758020,https://www.mtgtop8.com/event?e=73545&d=758020&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73545&d=758020&f=cEDH,2,29,2/29,..\data\mtgtop8\deck_758020.txt
758021,https://www.mtgtop8.com/event?e=73545&d=758021&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73545&d=758021&f=cEDH,3,29,3/29,..\data\mtgtop8\deck_758021.txt
758022,https://www.mtgtop8.com/event?e=73545&d=758022&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73545&d=758022&f=cEDH,5,29,5/29,..\data\mtgtop8\deck_758022.txt
758023,https://www.mtgtop8.com/event?e=73545&d=758023&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73545&d=758023&f=cEDH,5,29,5/29,..\data\mtgtop8\deck_758023.txt
758024,https://www.mtgtop8.com/event?e=73545&d=758024&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73545&d=758024&f=cEDH,5,29,5/29,..\data\mtgtop8\deck_758024.txt
758025,https://www.mtgtop8.com/event?e=73545&d=758025&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73545&d=758025&f=cEDH,5,29,5/29,..\data\mtgtop8\deck_758025.txt
757940,https://www.mtgtop8.com/event?e=73537&d=757940&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73537&d=757940&f=cEDH,1,13,1/13,..\data\mtgtop8\deck_757940.txt
757941,https://www.mtgtop8.com/event?e=73537&d=757941&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73537&d=757941&f=cEDH,2,13,2/13,..\data\mtgtop8\deck_757941.txt
757942,https://www.mtgtop8.com/event?e=73537&d=757942&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73537&d=757942&f=cEDH,3,13,3/13,..\data\mtgtop8\deck_757942.txt
757943,https://www.mtgtop8.com/event?e=73537&d=757943&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73537&d=757943&f=cEDH,3,13,3/13,..\data\mtgtop8\deck_757943.txt
757979,https://www.mtgtop8.com/event?e=73541&d=757979&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73541&d=757979&f=cEDH,1,12,1/12,..\data\mtgtop8\deck_757979.txt
757980,https://www.mtgtop8.com/event?e=73541&d=757980&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73541&d=757980&f=cEDH,2,12,2/12,..\data\mtgtop8\deck_757980.txt
757981,https://www.mtgtop8.com/event?e=73541&d=757981&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73541&d=757981&f=cEDH,3,12,3/12,..\data\mtgtop8\deck_757981.txt
757982,https://www.mtgtop8.com/event?e=73541&d=757982&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73541&d=757982&f=cEDH,3,12,3/12,..\data\mtgtop8\deck_757982.txt
757912,https://www.mtgtop8.com/event?e=73533&d=757912&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73533&d=757912&f=cEDH,1,24,1/24,..\data\mtgtop8\deck_757912.txt
757913,https://www.mtgtop8.com/event?e=73533&d=757913&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73533&d=757913&f=cEDH,2,24,2/24,..\data\mtgtop8\deck_757913.txt
757914,https://www.mtgtop8.com/event?e=73533&d=757914&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73533&d=757914&f=cEDH,3,24,3/24,..\data\mtgtop8\deck_757914.txt
757915,https://www.mtgtop8.com/event?e=73533&d=757915&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73533&d=757915&f=cEDH,3,24,3/24,..\data\mtgtop8\deck_757915.txt
757916,https://www.mtgtop8.com/event?e=73533&d=757916&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73533&d=757916&f=cEDH,5,24,5/24,..\data\mtgtop8\deck_757916.txt
757917,https://www.mtgtop8.com/event?e=73533&d=757917&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73533&d=757917&f=cEDH,5,24,5/24,..\data\mtgtop8\deck_757917.txt
757918,https://www.mtgtop8.com/event?e=73533&d=757918&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73533&d=757918&f=cEDH,5,24,5/24,..\data\mtgtop8\deck_757918.txt
757919,https://www.mtgtop8.com/event?e=73533&d=757919&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73533&d=757919&f=cEDH,5,24,5/24,..\data\mtgtop8\deck_757919.txt
757820,https://www.mtgtop8.com/event?e=73521&d=757820&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73521&d=757820&f=cEDH,1,57,1/57,..\data\mtgtop8\deck_757820.txt
757821,https://www.mtgtop8.com/event?e=73521&d=757821&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73521&d=757821&f=cEDH,2,57,2/57,..\data\mtgtop8\deck_757821.txt
