bracket,test_mae,val_mae
1,0.8125228859519066,0.7959145464661981
2,0.32451687680168184,0.29966954691107395
3,0.5149245678488189,0.47412923446656274
4,0.5385669857291601,0.5241100778058833
5,0.10738487534542651,0.17345422060332918
